Time	Unixtime (s)	Sensor Temperature (°C)
13.12.2019 - 12:03:35	1576235015.594	  nan
13.12.2019 - 12:03:36	1576235016.729	  nan
13.12.2019 - 12:03:37	1576235017.790	  nan
13.12.2019 - 12:03:38	1576235018.847	  nan
13.12.2019 - 12:03:39	1576235019.908	  nan
13.12.2019 - 12:03:40	1576235020.968	  nan
13.12.2019 - 12:03:42	1576235022.029	  nan
13.12.2019 - 12:03:43	1576235023.086	  nan
13.12.2019 - 12:03:44	1576235024.147	  nan
13.12.2019 - 12:03:45	1576235025.208	  nan
13.12.2019 - 12:03:46	1576235026.265	  nan
13.12.2019 - 12:03:47	1576235027.326	  nan
13.12.2019 - 12:03:48	1576235028.387	  nan
13.12.2019 - 12:03:49	1576235029.448	  nan
13.12.2019 - 12:03:50	1576235030.504	  nan
13.12.2019 - 12:03:51	1576235031.565	  nan
13.12.2019 - 12:03:51	1576235031.795	  nan
13.12.2019 - 12:03:52	1576235032.020	  nan
13.12.2019 - 12:03:52	1576235032.249	  nan
13.12.2019 - 12:03:52	1576235032.475	  nan
13.12.2019 - 12:03:52	1576235032.704	  nan
13.12.2019 - 12:03:52	1576235032.929	  nan
13.12.2019 - 12:03:53	1576235033.155	  nan
13.12.2019 - 12:03:53	1576235033.384	  nan
13.12.2019 - 12:03:53	1576235033.609	  nan
13.12.2019 - 12:03:53	1576235033.839	  nan
13.12.2019 - 12:03:54	1576235034.064	  nan
13.12.2019 - 12:03:54	1576235034.293	  nan
13.12.2019 - 12:03:54	1576235034.519	  nan
13.12.2019 - 12:03:54	1576235034.748	  nan
13.12.2019 - 12:03:54	1576235034.973	  nan
13.12.2019 - 12:03:55	1576235035.203	  nan
13.12.2019 - 12:03:55	1576235035.428	  nan
13.12.2019 - 12:03:55	1576235035.731	  nan
13.12.2019 - 12:03:55	1576235035.961	  nan
13.12.2019 - 12:03:56	1576235036.186	  nan
13.12.2019 - 12:03:56	1576235036.415	  nan
13.12.2019 - 12:03:56	1576235036.718	  nan
13.12.2019 - 12:03:56	1576235036.944	  nan
13.12.2019 - 12:03:57	1576235037.173	  nan
13.12.2019 - 12:03:57	1576235037.398	  nan
13.12.2019 - 12:03:57	1576235037.624	  nan
13.12.2019 - 12:03:57	1576235037.853	  nan
13.12.2019 - 12:03:58	1576235038.078	  nan
13.12.2019 - 12:03:58	1576235038.308	  nan
13.12.2019 - 12:03:58	1576235038.533	  nan
13.12.2019 - 12:03:58	1576235038.763	  nan
13.12.2019 - 12:03:58	1576235038.988	  nan
13.12.2019 - 12:03:59	1576235039.217	  nan
13.12.2019 - 12:03:59	1576235039.442	  nan
13.12.2019 - 12:03:59	1576235039.745	  nan
13.12.2019 - 12:03:59	1576235039.975	  nan
13.12.2019 - 12:04:00	1576235040.200	  nan
13.12.2019 - 12:04:00	1576235040.429	  nan
13.12.2019 - 12:04:00	1576235040.734	  nan
13.12.2019 - 12:04:00	1576235040.958	  nan
13.12.2019 - 12:04:01	1576235041.187	  nan
13.12.2019 - 12:04:01	1576235041.414	  nan
13.12.2019 - 12:04:01	1576235041.715	  nan
13.12.2019 - 12:04:01	1576235041.945	  nan
13.12.2019 - 12:04:02	1576235042.171	  nan
