Time	Unixtime (s)	Sensor Temperature (°C)
13.12.2019 - 16:04:56	1576249496.846	123.0
13.12.2019 - 16:04:57	1576249497.907	128.0
13.12.2019 - 16:04:58	1576249498.964	133.0
13.12.2019 - 16:05:00	1576249500.102	139.0
13.12.2019 - 16:05:01	1576249501.159	144.0
13.12.2019 - 16:05:02	1576249502.220	150.0
13.12.2019 - 16:05:03	1576249503.281	155.0
13.12.2019 - 16:05:04	1576249504.342	160.0
13.12.2019 - 16:05:05	1576249505.403	166.0
13.12.2019 - 16:05:05	1576249505.931	168.0
13.12.2019 - 16:05:06	1576249506.464	171.0
13.12.2019 - 16:05:06	1576249506.992	174.0
13.12.2019 - 16:05:07	1576249507.598	177.0
13.12.2019 - 16:05:08	1576249508.127	179.0
13.12.2019 - 16:05:08	1576249508.659	182.0
13.12.2019 - 16:05:09	1576249509.188	185.0
13.12.2019 - 16:05:09	1576249509.720	187.0
13.12.2019 - 16:05:10	1576249510.249	190.0
13.12.2019 - 16:05:10	1576249510.781	193.0
13.12.2019 - 16:05:11	1576249511.309	195.0
13.12.2019 - 16:05:11	1576249511.842	198.0
13.12.2019 - 16:05:12	1576249512.370	200.0
13.12.2019 - 16:05:12	1576249512.899	203.0
13.12.2019 - 16:05:13	1576249513.431	206.0
13.12.2019 - 16:05:13	1576249513.960	208.0
13.12.2019 - 16:05:14	1576249514.492	211.0
13.12.2019 - 16:05:15	1576249515.098	214.0
13.12.2019 - 16:05:15	1576249515.627	217.0
13.12.2019 - 16:05:16	1576249516.159	219.0
13.12.2019 - 16:05:16	1576249516.688	222.0
13.12.2019 - 16:05:17	1576249517.216	225.0
13.12.2019 - 16:05:17	1576249517.749	227.0
13.12.2019 - 16:05:18	1576249518.277	230.0
13.12.2019 - 16:05:18	1576249518.810	233.0
13.12.2019 - 16:05:19	1576249519.338	235.0
13.12.2019 - 16:05:19	1576249519.871	238.0
13.12.2019 - 16:05:20	1576249520.399	241.0
13.12.2019 - 16:05:20	1576249520.931	243.0
13.12.2019 - 16:05:21	1576249521.460	246.0
13.12.2019 - 16:05:21	1576249521.988	249.0
13.12.2019 - 16:05:22	1576249522.521	251.0
13.12.2019 - 16:05:23	1576249523.127	254.0
13.12.2019 - 16:05:23	1576249523.656	257.0
13.12.2019 - 16:05:24	1576249524.188	260.0
13.12.2019 - 16:05:24	1576249524.716	262.0
13.12.2019 - 16:05:25	1576249525.249	265.0
13.12.2019 - 16:05:25	1576249525.777	267.0
13.12.2019 - 16:05:26	1576249526.306	270.0
13.12.2019 - 16:05:26	1576249526.838	273.0
13.12.2019 - 16:05:27	1576249527.367	275.0
13.12.2019 - 16:05:27	1576249527.899	278.0
13.12.2019 - 16:05:28	1576249528.428	281.0
13.12.2019 - 16:05:28	1576249528.960	283.0
13.12.2019 - 16:05:29	1576249529.488	286.0
13.12.2019 - 16:05:30	1576249530.021	289.0
13.12.2019 - 16:05:30	1576249530.623	292.0
13.12.2019 - 16:05:31	1576249531.155	294.0
13.12.2019 - 16:05:31	1576249531.684	297.0
13.12.2019 - 16:05:32	1576249532.216	300.0
13.12.2019 - 16:05:32	1576249532.745	302.0
13.12.2019 - 16:05:33	1576249533.278	305.0
13.12.2019 - 16:05:33	1576249533.806	308.0
13.12.2019 - 16:05:34	1576249534.338	310.0
13.12.2019 - 16:05:34	1576249534.867	313.0
13.12.2019 - 16:05:35	1576249535.395	316.0
13.12.2019 - 16:05:35	1576249535.928	318.0
13.12.2019 - 16:05:36	1576249536.456	321.0
13.12.2019 - 16:05:36	1576249536.989	324.0
13.12.2019 - 16:05:37	1576249537.517	326.0
13.12.2019 - 16:05:38	1576249538.049	329.0
13.12.2019 - 16:05:38	1576249538.578	331.0
13.12.2019 - 16:05:39	1576249539.110	334.0
13.12.2019 - 16:05:39	1576249539.713	337.0
13.12.2019 - 16:05:40	1576249540.245	340.0
13.12.2019 - 16:05:40	1576249540.773	342.0
